-47678522.5822691619	  inf
-34430779.8406559080	2.77856e-01
-33444873.5302325375	2.86344e-02
-32937967.6763640493	1.51565e-02
-32662604.7003115676	8.36005e-03
-32506161.1659471169	4.78968e-03
-32411852.0883526206	2.90127e-03
-32352847.5052200034	1.82046e-03
-32314046.6059878878	1.19930e-03
-32286040.5226338878	8.66685e-04
-32264960.4930084161	6.52915e-04
-32248378.1120013446	5.13944e-04
-32235370.1387212314	4.03368e-04
-32224591.5470573455	3.34372e-04
-32215814.2897304855	2.72378e-04
-32208765.8855929598	2.18787e-04
-32202670.5233873501	1.89245e-04
-32197087.8943120390	1.73359e-04
-32192232.2862997353	1.50809e-04
-32187609.0236084163	1.43614e-04
-32183380.0607019849	1.31385e-04
-32179444.3172096387	1.22291e-04
-32175671.5347972922	1.17242e-04
-32171954.8936430588	1.15511e-04
-32168320.7532874979	1.12960e-04
-32165147.1531193890	9.86561e-05
