-45142783.0334138274	4.51428e+13
-33385907.9742500968	2.60438e-01
-32627910.3533099107	2.27041e-02
-32115138.8960790783	1.57157e-02
-31798969.5118263438	9.84487e-03
-31609271.1912716068	5.96555e-03
-31495691.7472456731	3.59323e-03
-31422971.9774122983	2.30888e-03
-31374686.7495749407	1.53662e-03
-31340954.8186981268	1.07513e-03
-31315866.4870515093	8.00497e-04
-31296503.4137212262	6.18315e-04
-31281324.2516848743	4.85011e-04
-31268850.8492236733	3.98749e-04
-31258153.8176411651	3.42099e-04
-31249091.4617232382	2.89920e-04
-31240645.8898110986	2.70266e-04
-31232940.1501773633	2.46658e-04
-31225557.4623819888	2.36375e-04
-31218440.4378824569	2.27923e-04
-31211998.8314348124	2.06340e-04
-31205697.5733111985	2.01886e-04
-31199716.5851292126	1.91663e-04
-31193629.5622592494	1.95099e-04
-31188052.8229308836	1.78778e-04
-31183075.3643041886	1.59595e-04
-31178357.0469299927	1.51310e-04
-31173720.0046090148	1.48726e-04
-31169191.0291852206	1.45282e-04
-31165009.2974183969	1.34162e-04
-31161064.6833879501	1.26572e-04
-31157534.3371415064	1.13294e-04
-31154222.1633896492	1.06304e-04
-31151094.0308939032	1.00408e-04
-31147944.6662830114	1.01100e-04
-31145128.5923654214	9.04096e-05
